resp_fMRI.keys, resp_fMRI.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, instructionLoop.thisRepN, instructionLoop.thisTrialN, instructionLoop.thisN, instructionLoop.thisIndex, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, RewardTrialRanked, Construal_QuestionText, Construal_AnswerText, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, k_val, designDir, total_time_limit, date, expName, frameRate
, , , , , , , , , , 0, -1, -1, 0, 2001, 43, 1, 0, 0.007498942093324559, 0.007498942093324559, , 1.37194492364, 19.410999999999973, 19.411999999999978, , 25, 30, 1, , 9, 37.47042864326649, 1, 3, 2, 1.15212978812, 1, Why participate in class?,  Show intelligence., 2, 19.409999999999997, 19.409999999999997, 0, 42, 42, 42, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 44, 2, 0, 0.007498942093324559, 0.007498942093324559, , 1.56040135414, 19.412999999999982, 19.415999999999997, , 25, 30, 1, , 2, 29.070428643266485, 1, 3, 2, 4.10376319248, 49, Why make a list?,  Plan ahead., 2, 19.412999999999982, 19.412999999999982, 0, 43, 43, 43, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 45, 2, 0.0010000000000047748, 0.007498942093324559, 0.007498942093324559, , 1.6564438375, 19.417999999999978, 19.417999999999978, , 25, 30, 1, , 7, 35.070428643266474, 1, 3, 2, 1.99577423436, 3, Why avoid diseases?,  Live a long life., 3, 19.415999999999997, 19.416999999999973, 0, 44, 44, 44, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 46, 1, 0, 0.007498942093324559, 0.007498942093324559, , 1.04574444337, 19.418999999999983, 19.419999999999987, , 25, 30, 1, , 8, 36.27042864326646, 1, 3, 2, 2.07096157914, 58, Why show appreciation?,  Spread joy., 3, 19.417999999999978, 19.418999999999983, 0, 45, 45, 45, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 47, 1, 0, 0.007498942093324559, 0.007498942093324559, , 2.74038327244, 19.42999999999998, 19.431999999999988, , 25, 30, 1, , 1, 27.870428643266465, 1, 3, 2, 1.19067541912, 8, How to achieve success?,  Get a promotion., 6, 19.428999999999974, 19.42999999999998, 0, 46, 46, 46, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 48, 2, 0, 0.007498942093324559, 0.007498942093324559, , 3.859198797, 19.436999999999983, 19.437999999999988, , 25, 30, 1, , 6, 33.87042864326645, 1, 3, 2, 1.50407766238, 45, How to support a cause?,  Give to charity., 6, 19.434999999999974, 19.43599999999998, 0, 47, 47, 47, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 49, 2, 0, 0.007498942093324559, 0.007498942093324559, , 2.11188736587, 19.440999999999974, 19.44199999999998, , 25, 30, 1, , 2, 29.070428643266485, 1, 3, 2, 1.13374375503, 29, Why open a bottle?,  Consume medicine., 1, 19.438999999999993, 19.439999999999998, 0, 48, 48, 48, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 50, 1, 0, 0.007498942093324559, 0.007498942093324559, , 1.03392151933, 19.444999999999993, 19.450999999999993, , 25, 30, 1, , 7, 35.070428643266474, 1, 3, 2, 1.05404218595, 44, Why use credit cards?,  Go shopping., 1, 19.442999999999984, 19.442999999999984, 0, 49, 49, 49, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 51, 2, 0, 0.007498942093324559, 0.007498942093324559, , 3.45853445105, 19.452999999999975, 19.45599999999999, , 25, 30, 1, , 3, 30.270428643266477, 1, 3, 2, 1.00728528511, 14, Why lift weights?,  Build muscles., 2, 19.452999999999975, 19.452999999999975, 0, 50, 50, 50, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 52, 1, 0, 0.007498942093324559, 0.007498942093324559, , 1.4899475435, 19.458, 19.458999999999975, , 25, 30, 1, , 9, 37.47042864326649, 1, 3, 2, 2.36546567657, 54, Why watch television?,  Show competence., 2, 19.45599999999999, 19.456999999999994, 0, 51, 51, 51, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 53, 1, 0, 0.007498942093324559, 0.007498942093324559, , 2.10032157379, 19.460999999999984, 19.462999999999994, , 25, 30, 1, , 6, 33.87042864326645, 1, 3, 2, 1.08353004058, 16, How to build muscles?,  Lift weights., 5, 19.45999999999998, 19.45999999999998, 0, 52, 52, 52, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 54, 2, 0, 0.007498942093324559, 0.007498942093324559, , 1.04779917126, 19.46799999999999, 19.47, , 25, 30, 1, , 4, 31.470428643266498, 1, 3, 2, 4.35229333421, 46, How to provide food?,  Prepare meals., 5, 19.464999999999975, 19.464999999999975, 0, 53, 53, 53, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 55, 1, 0, 0.007498942093324559, 0.007498942093324559, , 1.24908820889, 19.470999999999975, 19.472999999999985, , 25, 30, 1, , 5, 32.67042864326649, 1, 3, 2, 1.55271284379, 55, How to improve oneself?,  Gain knowledge., 6, 19.47, 19.47, 0, 54, 54, 54, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 56, 1, 0, 0.007498942093324559, 0.007498942093324559, , 2.2841539561, 19.474999999999994, 19.47799999999998, , 25, 30, 1, , 1, 27.870428643266465, 1, 3, 2, 1.54107845822, 20, How to show creativity?,  Make art., 6, 19.47399999999999, 19.47399999999999, 0, 55, 55, 55, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 57, 2, 0, 0.007498942093324559, 0.007498942093324559, , 3.1807749961, 19.482999999999976, 19.484999999999985, , 25, 30, 1, , 7, 35.070428643266474, 1, 3, 2, 4.49559760272, 37, How to write a song?,  Play piano., 4, 19.478999999999985, 19.47999999999999, 0, 56, 56, 56, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 58, 1, 0, 0.007498942093324559, 0.007498942093324559, , 1.65186726637, 19.488999999999976, 19.490999999999985, , 25, 30, 1, , 1, 27.870428643266465, 1, 3, 2, 2.03596560228, 34, How to give a lecture?,  Brush ones hair., 4, 19.48599999999999, 19.486999999999995, 0, 57, 57, 57, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 59, 2, 0, 0.007498942093324559, 0.007498942093324559, , 2.28582840604, 19.494, 19.496999999999986, , 25, 30, 1, , 9, 37.47042864326649, 1, 3, 2, 1.34983719134, 40, Why make a purchase?,  Satisfy a need., 3, 19.49199999999999, 19.49199999999999, 0, 58, 58, 58, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
, , , , , , , , , , 0, -1, -1, 0, 2001, 60, 2, 0, 0.007498942093324559, 0.007498942093324559, , 1.29073297215, 19.500999999999976, 19.502999999999986, , 25, 30, 1, , 4, 31.470428643266498, 1, 3, 2, 1.88556222774, 22, Why entertain others?,  Express a talent., 3, 19.496999999999986, 19.498999999999995, 0, 59, 59, 59, 2001, 3, 2, 0.01, fmri_v220180219183556, 30, Mon Feb 19 2018 20:57:42 GMT-0800 (PST), stroop, 60
