resp_fMRI.keys, resp_fMRI.rt, respMetaInstructions.keys, respMetaInstructions.rt, respTaskInstructions.keys, respTaskInstructions.rt, respHowWhyTaskInstructions.keys, respHowWhyTaskInstructions.rt, respBlockInstructions.keys, respBlockInstructions.rt, construal_resp.keys, construal_resp.rt, resp_trial.keys, resp_trial.rt, blocks.thisRepN, blocks.thisTrialN, blocks.thisN, blocks.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, Construal_TrialN, Construal_QuestionText, Construal_AnswerText, Construal_Stimulus, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, Subject, Trial, SSonLorR, RT, startingK, endingK, TrialStart, ITI, choiceUp, choiceMade, TrialOver, SSamount, LLamount, Condition, Choice, SSdelay, LLdelay, salienceCondition, day, runid, TaskInterval, Construal_TrialN, Construal_QuestionText, Construal_AnswerText, Construal_Stimulus, Construal_Condition, construal_trialUp, construal_trialComplete, trials_set1.thisRepN, trials_set1.thisTrialN, trials_set1.thisN, trials_set1.thisIndex, participant, session, run, designDir, date, expName, frameRate
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 19, 1, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 0.572068907364, 271.74, 277.747, , 25, 30, 1, , 3, 14.846826503806989, 1, 1, 1, 1.04121433066, 19, How to clip coupons?,  Cut paper., 7, 4, 267.15200000000004, 271.15700000000004, 0, 18, 18, 18, 2002, 19, 1, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 0.572068907364, 271.74, 277.747, , 25, 30, 1, , 3, 14.846826503806989, 1, 1, 1, 1.04121433066, 19, How to clip coupons?,  Cut paper., 7, 4, 267.15200000000004, 271.15700000000004, 0, 18, 18, 18, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 20, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.98839580986, 285.757, 291.764, , 25, 30, 1, , 9, 22.046826503806976, 1, 1, 1, 0.625376384892, 20, How to consume medicine?,  Take pills. , 10, 4, 279.75, 283.754, 0, 19, 19, 19, 2002, 20, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.98839580986, 285.757, 291.764, , 25, 30, 1, , 9, 22.046826503806976, 1, 1, 1, 0.625376384892, 20, How to consume medicine?,  Take pills. , 10, 4, 279.75, 283.754, 0, 19, 19, 19, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 21, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 2.89932046754, 301.574, 307.581, , 25, 30, 1, , 5, 17.24682650380699, 1, 1, 1, 1.93566425074, 21, How to feel sociable?,  Hold a party., 22, 6, 294.666, 298.671, 0, 20, 20, 20, 2002, 21, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 2.89932046754, 301.574, 307.581, , 25, 30, 1, , 5, 17.24682650380699, 1, 1, 1, 1.93566425074, 21, How to feel sociable?,  Hold a party., 22, 6, 294.666, 298.671, 0, 20, 20, 20, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 22, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.05406384256, 313.72200000000004, 319.72900000000004, , 25, 30, 1, , 8, 20.846826503806987, 1, 1, 1, 1.16491834511, 22, Why point a camera?,  Take a picture., 114, 1, 308.65000000000003, 312.654, 0, 21, 21, 21, 2002, 22, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.05406384256, 313.72200000000004, 319.72900000000004, , 25, 30, 1, , 8, 20.846826503806987, 1, 1, 1, 1.16491834511, 22, Why point a camera?,  Take a picture., 114, 1, 308.65000000000003, 312.654, 0, 21, 21, 21, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 23, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 4.45224640542, 332.64300000000003, 338.65000000000003, , 25, 30, 1, , 6, 18.446826503806978, 1, 1, 1, 1.18003030026, 23, Why clap hands?,  Give applause., 76, 1, 324.184, 328.189, 0, 22, 22, 22, 2002, 23, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 4.45224640542, 332.64300000000003, 338.65000000000003, , 25, 30, 1, , 6, 18.446826503806978, 1, 1, 1, 1.18003030026, 23, Why clap hands?,  Give applause., 76, 1, 324.184, 328.189, 0, 22, 22, 22, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 24, 1, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 0.633060091067, 343.922, 349.92900000000003, , 25, 30, 1, , 1, 12.446826503806978, 1, 1, 1, 0.746958067943, 24, Why reduce pain?,  Feel well., 118, 3, 339.284, 343.288, 0, 23, 23, 23, 2002, 24, 1, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 0.633060091067, 343.922, 349.92900000000003, , 25, 30, 1, , 1, 12.446826503806978, 1, 1, 1, 0.746958067943, 24, Why reduce pain?,  Feel well., 118, 3, 339.284, 343.288, 0, 23, 23, 23, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 25, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.54808485755, 357.03700000000003, 363.04400000000004, , 25, 30, 1, , 6, 18.446826503806978, 1, 1, 1, 1.10137267889, 25, Why write a song?,  Seek advice., 143, 2, 351.481, 355.487, 0, 24, 24, 24, 2002, 25, 2, 6.007000000000005, 0.01778279410038923, 0.01778279410038923, , 1.54808485755, 357.03700000000003, 363.04400000000004, , 25, 30, 1, , 6, 18.446826503806978, 1, 1, 1, 1.10137267889, 25, Why write a song?,  Seek advice., 143, 2, 351.481, 355.487, 0, 24, 24, 24, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 26, 1, 6.007999999999981, 0.01778279410038923, 0.01778279410038923, , 1.93132697505, 370.91900000000004, 376.927, , 25, 30, 1, , 8, 20.846826503806987, 1, 1, 1, 0.507065980769, 26, Why kill germs?,  Avoid diseases., 100, 2, 364.98, 368.98400000000004, 0, 25, 25, 25, 2002, 26, 1, 6.007999999999981, 0.01778279410038923, 0.01778279410038923, , 1.93132697505, 370.91900000000004, 376.927, , 25, 30, 1, , 8, 20.846826503806987, 1, 1, 1, 0.507065980769, 26, Why kill germs?,  Avoid diseases., 100, 2, 364.98, 368.98400000000004, 0, 25, 25, 25, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 27, 2, 6.006000000000029, 0.01778279410038923, 0.01778279410038923, , 4.29975524967, 389.541, 395.547, , 25, 30, 1, , 9, 22.046826503806976, 1, 1, 1, 0.570693329265, 27, How to participate in class?,  Raise a hand., 45, 4, 381.231, 385.236, 0, 26, 26, 26, 2002, 27, 2, 6.006000000000029, 0.01778279410038923, 0.01778279410038923, , 4.29975524967, 389.541, 395.547, , 25, 30, 1, , 9, 22.046826503806976, 1, 1, 1, 0.570693329265, 27, How to participate in class?,  Raise a hand., 45, 4, 381.231, 385.236, 0, 26, 26, 26, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
, , , , , , , , , , , , , , 0, -1, -1, 0, 2002, 28, 1, 6.003999999999962, 0.01778279410038923, 0.01778279410038923, , 1.01794395485, 401.59000000000003, 407.594, , 25, 30, 1, , 4, 16.046826503806976, 1, 1, 1, 0.80704685552, 28, How to write a check?,  Sign ones name., 69, 4, 396.565, 400.57, 0, 27, 27, 27, 2002, 28, 1, 6.003999999999962, 0.01778279410038923, 0.01778279410038923, , 1.01794395485, 401.59000000000003, 407.594, , 25, 30, 1, , 4, 16.046826503806976, 1, 1, 1, 0.80704685552, 28, How to write a check?,  Sign ones name., 69, 4, 396.565, 400.57, 0, 27, 27, 27, 2002, 1, 1, fmri_v120180205205706, Mon Feb 05 2018 20:57:41 GMT-0800 (PST), stroop, 60
