Action,Condition,Answer,Percent,Q_Nchar,Q_Nword,Q_Nsyll,Q_Freq,Q_Body,Q_Spec,Q_Conc,Q_Imag,A_Nchar,A_Nword,A_Nsyll,A_Freq,A_Body,A_Spec,A_Conc,A_Imag
28,3,2,97,14,2,4,2.9,2.702380952,2.028571429,2.352941176,2.947368421,11,3,3,4.3,3.404761905,1.303030303,2.137931034,2.868421053
23,3,1,88,12,2,4,3.4,2.928571429,2.702702703,2.488372093,3.921052632,11,3,3,4.6,3.036144578,3.405405405,3.068965517,3.644736842
14,3,1,93,16,2,5,3.6,1.892857143,2.567567568,2.209302326,3.106666667,13,2,4,3.2,3.548780488,2.108108108,2.258823529,2.92
1,1,1,86.6667,13,3,3,4,5.34939759,6,6.607142857,7,11,3,3,3.6,5.130952381,6.027777778,6.564705882,6.833333333
25,1,1,93,15,2,5,2.2,5.857142857,5.571428571,6.571428571,6.546666667,12,3,4,2.7,5.333333333,4.513513514,6.517647059,6.310810811
8,2,1,97,12,3,4,4.4,4.904761905,5.243243243,6.068965517,6.64,11,3,5,4,1.397590361,3.054054054,1.895348837,2.333333333
24,1,2,100,11,2,4,3.8,5.547619048,6.485714286,6.686046512,6.773333333,12,2,4,3.1,5.590361446,4.324324324,6.186046512,6.178082192
20,2,2,93,11,3,3,3.7,3.024390244,4.135135135,4.747126437,5.44,8,2,3,2.8,2.880952381,3.513513514,3.471264368,3.368421053
6,1,2,97,14,3,4,3.7,5.951219512,6.242424242,6.627906977,7,9,3,3,4.2,3.578313253,4.540540541,5.952941176,6.310810811
11,1,1,94,13,3,4,3,6.166666667,6.567567568,6.835294118,7,15,3,5,2.8,5.879518072,5.8,6.313953488,6.621621622
9,1,1,87,9,3,4,3.3,5.880952381,5.939393939,6.425287356,6.833333333,13,3,4,3.4,4,4.675675676,6.134146341,6.375
1,2,2,97,10,3,5,3.8,4.857142857,5.513513514,6.360465116,6.689189189,13,3,5,3.8,3.642857143,3.972972973,4.781609195,4.578947368
19,1,2,100,8,3,3,3.2,5.939759036,5.828571429,6.814814815,6.697368421,10,3,3,3.7,2.630952381,4.378378378,5.08045977,4.921052632
28,1,1,100,10,3,4,3.5,5.641975309,6,6.505882353,6.780821918,15,2,5,3.7,3.595238095,5.189189189,5.872093023,6.869565217
23,1,2,94,8,2,2,3.2,5.638554217,5.324324324,6.630952381,6.791666667,6,2,2,4.2,5.416666667,3.216216216,4.448275862,4.394736842
26,1,1,97,14,3,5,3.7,4.892857143,5.285714286,6.214285714,6.540540541,10,2,3,3.6,5,3.918918919,5.476744186,6.136986301
10,1,1,90,14,3,3,3.7,5.915662651,6.571428571,6.662650602,6.861111111,9,2,2,3.3,5.341463415,4.567567568,4.586206897,3.881578947
28,2,2,97,15,2,5,3.7,3.595238095,5.189189189,5.872093023,6.869565217,14,2,4,2.9,2.702380952,2.028571429,2.352941176,2.947368421
27,1,1,97,8,2,2,3.1,5.746987952,5.72972973,6.595238095,6.337837838,13,2,4,2.5,5.361445783,4.638888889,5.73255814,6.106666667
24,2,1,100,10,3,3,3.3,2.619047619,4.756756757,5.229885057,5.302631579,13,3,5,3.5,2.243902439,2.432432432,2.209302326,3.289473684
19,2,2,93,10,3,3,3.7,2.630952381,4.378378378,5.08045977,4.921052632,10,2,3,3.2,2.583333333,2.722222222,2.91954023,3.802631579
15,3,1,97,12,3,4,2.9,3.619047619,5.416666667,6.034883721,6.315068493,12,3,4,3.8,3.833333333,3.621621622,4.91954023,5.413333333
